# Exact Riemann solution for problem:	Lax
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	5.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	4.45000e-01	6.98876e-01	3.52773e+00
# Right state [dens,velx,pres]:	5.00000e-01	0.00000e+00	5.71000e-01
# Time:	1.60000e-01
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  1.250000000e-03	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  3.750000000e-03	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  6.250000000e-03	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  8.750000000e-03	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  1.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  1.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  1.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  1.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  2.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  2.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  2.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  2.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  3.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  3.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  3.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  3.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  4.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  4.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  4.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  4.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  5.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  5.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  5.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  5.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  6.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  6.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  6.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  6.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  7.125000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  7.375000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  7.625000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  7.875000000e-02	  4.450000000e-01	  3.109998200e-01	  8.928000155e+00	  3.527730000e+00	  1.981870787e+01	  6.988760000e-01	  3.331437588e+00
  8.125000000e-02	  4.432912899e-01	  3.154849764e-01	  8.884214635e+00	  3.508780496e+00	  1.978823279e+01	  7.116877402e-01	  3.328875240e+00
  8.375000000e-02	  4.415600751e-01	  3.200023721e-01	  8.839982207e+00	  3.489611190e+00	  1.975728438e+01	  7.247085736e-01	  3.326271074e+00
  8.625000000e-02	  4.398342733e-01	  3.244786776e-01	  8.796018031e+00	  3.470531720e+00	  1.972636019e+01	  7.377294069e-01	  3.323666907e+00
  8.875000000e-02	  4.381138718e-01	  3.289140945e-01	  8.752320504e+00	  3.451541734e+00	  1.969546022e+01	  7.507502402e-01	  3.321062740e+00
  9.125000000e-02	  4.363988581e-01	  3.333088243e-01	  8.708888027e+00	  3.432640883e+00	  1.966458447e+01	  7.637710736e-01	  3.318458574e+00
  9.375000000e-02	  4.346892193e-01	  3.376630676e-01	  8.665719014e+00	  3.413828818e+00	  1.963373294e+01	  7.767919069e-01	  3.315854407e+00
  9.625000000e-02	  4.329849429e-01	  3.419770242e-01	  8.622811881e+00	  3.395105190e+00	  1.960290563e+01	  7.898127402e-01	  3.313250240e+00
  9.875000000e-02	  4.312860162e-01	  3.462508936e-01	  8.580165056e+00	  3.376469654e+00	  1.957210254e+01	  8.028335736e-01	  3.310646074e+00
  1.012500000e-01	  4.295924266e-01	  3.504848744e-01	  8.537776972e+00	  3.357921863e+00	  1.954132367e+01	  8.158544069e-01	  3.308041907e+00
  1.037500000e-01	  4.279041616e-01	  3.546791648e-01	  8.495646071e+00	  3.339461473e+00	  1.951056903e+01	  8.288752402e-01	  3.305437740e+00
  1.062500000e-01	  4.262212086e-01	  3.588339620e-01	  8.453770802e+00	  3.321088140e+00	  1.947983860e+01	  8.418960736e-01	  3.302833574e+00
  1.087500000e-01	  4.245435550e-01	  3.629494629e-01	  8.412149622e+00	  3.302801522e+00	  1.944913239e+01	  8.549169069e-01	  3.300229407e+00
  1.112500000e-01	  4.228711883e-01	  3.670258636e-01	  8.370780996e+00	  3.284601278e+00	  1.941845040e+01	  8.679377402e-01	  3.297625240e+00
