# Exact Riemann solution for problem:	Toro-1
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	3.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	1.00000e+00	7.50000e-01	1.00000e+00
# Right state [dens,velx,pres]:	1.25000e-01	0.00000e+00	1.00000e-01
# Time:	2.00000e-01
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  5.000000000e-03	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  1.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  2.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  3.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  4.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  5.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  6.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  7.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  8.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
  9.500000000e-02	  1.000000000e+00	  7.500000000e-01	  2.781250000e+00	  1.000000000e+00	  2.500000000e+00	  7.500000000e-01	  1.183215957e+00
