# Exact Riemann solution for problem:	Toro-3
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	5.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	1.00000e+00	0.00000e+00	1.00000e+03
# Right state [dens,velx,pres]:	1.00000e+00	0.00000e+00	1.00000e-02
# Time:	1.20000e-02
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  1.250000000e-03	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  3.750000000e-03	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  6.250000000e-03	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  8.750000000e-03	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  1.125000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  1.375000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  1.625000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  1.875000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  2.125000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  2.375000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  2.625000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  2.875000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  3.125000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  3.375000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  3.625000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  3.875000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  4.125000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  4.375000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  4.625000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  4.875000000e-02	  1.000000000e+00	  0.000000000e+00	  2.500000000e+03	  1.000000000e+03	  2.500000000e+03	  0.000000000e+00	  3.741657387e+01
  5.125000000e-02	  9.995381569e-01	  1.727579628e-02	  2.498383848e+03	  9.993534794e+02	  2.499538093e+03	  1.728377867e-02	  3.741311711e+01
  5.375000000e-02	  9.949085205e-01	  1.899229524e-01	  2.482216114e+03	  9.928791946e+02	  2.494900722e+03	  1.908948898e-01	  3.737839489e+01
  5.625000000e-02	  9.902960548e-01	  3.609688546e-01	  2.466168024e+03	  9.864408947e+02	  2.490267658e+03	  3.645060009e-01	  3.734367267e+01
  5.875000000e-02	  9.857007119e-01	  5.304224204e-01	  2.450238747e+03	  9.800384128e+02	  2.485638899e+03	  5.381171120e-01	  3.730895045e+01
  6.125000000e-02	  9.811224441e-01	  6.982925338e-01	  2.434427454e+03	  9.736715828e+02	  2.481014446e+03	  7.117282231e-01	  3.727422822e+01
  6.375000000e-02	  9.765612039e-01	  8.645880461e-01	  2.418733324e+03	  9.673402390e+02	  2.476394299e+03	  8.853393342e-01	  3.723950600e+01
