# Exact Riemann solution for problem:	Toro-4
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	4.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	5.99924e+00	1.95975e+01	4.60894e+02
# Right state [dens,velx,pres]:	5.99242e+00	-6.19633e+00	4.60950e+01
# Time:	3.50000e-02
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  1.250000000e-03	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  3.750000000e-03	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  6.250000000e-03	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  8.750000000e-03	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  3.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  3.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  3.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  3.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  4.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  4.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  4.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  4.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  5.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  5.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  5.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  5.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  6.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  6.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  6.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  6.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  7.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  7.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  7.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  7.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  8.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  8.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  8.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  8.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  9.125000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  9.375000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  9.625000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  9.875000000e-02	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.012500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.037500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.062500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.087500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.112500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.137500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.162500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.187500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.212500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.237500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.262500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.287500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.312500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.337500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.362500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.387500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.412500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.437500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.462500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.487500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.512500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.537500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.562500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.587500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.612500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.637500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.662500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.687500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.712500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.737500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.762500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.787500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.812500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.837500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.862500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.887500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.912500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.937500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.962500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  1.987500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.012500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.037500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.062500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.087500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.112500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.137500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.162500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.187500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.212500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.237500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.262500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.287500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.312500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.337500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.362500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.387500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.412500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.437500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
  2.462500000e-01	  5.999240000e+00	  1.175701059e+02	  2.304275075e+03	  4.608940000e+02	  1.920634947e+02	  1.959750000e+01	  1.037089953e+01
