# Exact Riemann solution for problem:	Toro-5
# Discretization:	zonal
# Domain bounds:	0.00000e+00	1.00000e+00
# Iterface position:	8.00000e-01
# Gamma:	1.40000e+00
# Left  state [dens,velx,pres]:	1.00000e+00	-1.95974e+01	1.00000e+03
# Right state [dens,velx,pres]:	1.00000e+00	-1.95974e+01	1.00000e-02
# Time:	1.20000e-02
                x	    dens [$\rho$]	      mom [$\mu$]	   e [$\epsilon$]	       pres [$p$]	             eint	       velx [$v$]	             cspd
  1.250000000e-03	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  3.750000000e-03	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  6.250000000e-03	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  8.750000000e-03	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  2.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  2.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  2.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  2.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  3.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  3.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  3.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  3.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  4.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  4.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  4.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  4.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  5.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  5.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  5.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  5.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  6.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  6.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  6.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  6.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  7.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  7.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  7.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  7.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  8.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  8.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  8.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  8.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  9.125000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  9.375000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  9.625000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  9.875000000e-02	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.012500000e-01	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.037500000e-01	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.062500000e-01	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.087500000e-01	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.112500000e-01	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.137500000e-01	  1.000000000e+00	 -1.959745000e+01	  2.692030023e+03	  1.000000000e+03	  2.500000000e+03	 -1.959745000e+01	  3.741657387e+01
  1.162500000e-01	  9.992239095e-01	 -1.955321548e+01	  2.688596699e+03	  9.989136419e+02	  2.499223729e+03	 -1.956840233e+01	  3.741076433e+01
  1.187500000e-01	  9.945954381e-01	 -1.928997087e+01	  2.668166981e+03	  9.924418007e+02	  2.494586650e+03	 -1.939479122e+01	  3.737604211e+01
  1.212500000e-01	  9.899841341e-01	 -1.902866335e+01	  2.647891516e+03	  9.860059331e+02	  2.489953877e+03	 -1.922118011e+01	  3.734131989e+01
  1.237500000e-01	  9.853899497e-01	 -1.876928306e+01	  2.627769288e+03	  9.796058723e+02	  2.485325410e+03	 -1.904756900e+01	  3.730659767e+01
  1.262500000e-01	  9.808128372e-01	 -1.851182019e+01	  2.607799287e+03	  9.732414520e+02	  2.480701249e+03	 -1.887395789e+01	  3.727187545e+01
  1.287500000e-01	  9.762527491e-01	 -1.825626495e+01	  2.587980510e+03	  9.669125068e+02	  2.476081393e+03	 -1.870034678e+01	  3.723715322e+01
  1.312500000e-01	  9.717096376e-01	 -1.800260760e+01	  2.568311955e+03	  9.606188717e+02	  2.471465844e+03	 -1.852673567e+01	  3.720243100e+01
